category,welfareType,servId,servNm,region,agency,department,intrsThemaArray,lifeArray,srvPvsnNm,sprtCycNm,servDgst,servDtlLink,inqNum,contact
제도,지자체,WLF00003829,소년소녀가정 및 가정위탁 양육비,경상남도,경상남도,경상남도 함안군 복지환경국 주민복지과,"입양·위탁, 서민금융","아동, 영유아, 청년, 청소년",현금지급,월,"○ 아동을 보호, 양육하기를 희망하는 가정에 위탁 양육함으로써 가정적인 분위기에서 건전한 사회인으로 자랄 수 있도록 지원",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003829&wlfareInfoReldBztpCd=02,2722,
제도,지자체,WLF00001040,가정위탁 아동지원,경기도,경기도,경기도 안양시 복지문화국 아동과,입양·위탁,"청소년, 청년, 아동, 영유아",기타,1회성,가정위탁아동 건전육성 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001040&wlfareInfoReldBztpCd=02,924,
제도,지자체,WLF00001398,중증장애인 콜승합차 운영,경기도,경기도,경기도 하남시 복지문화국 노인장애인복지과,,"청소년, 중장년, 청년, 아동, 노년",기타,분기,심한장애인에 대한 차량 지원 서비스를 통해 이동편의 제공,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001398&wlfareInfoReldBztpCd=02,1058,
제도,지자체,WLF00000237,행여자 및 행여사망자 지원,전라남도,전라남도,전라남도 진도군 주민복지과,서민금융,"중장년, 청년, 청소년, 노년, 영유아, 아동",현금지급,1회성,주거지가 아닌 타 지방을 여행하던 중 숙식할 능력이 없는 자에게 귀가할 수 있도록 안전하게 구호 및 행여사망자 처리 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000237&wlfareInfoReldBztpCd=02,652,
제도,지자체,WLF00000397,기초생활보장수급자및복지시설생활자위문,전라남도,전라남도,전라남도 순천시 시민복지국 사회복지과,서민금융,"영유아, 아동, 노년, 청소년, 중장년, 청년","현금지급, 현물지급",년,생활이 어려운 저소득층 및 사회복지시설 위문,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000397&wlfareInfoReldBztpCd=02,1124,
제도,지자체,WLF00002982,기초생활보장수급자 자녀 교통비 지원,경상남도,경상남도,경상남도 창원시 복지여성보건국 사회복지과,서민금융,"아동, 청소년",현금지급,분기,"기초생활보장수급자(생계,의료) 자녀들에게(중.고등학생)교통비를 지원하여 저소득 가구의 지출 부담 경감",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002982&wlfareInfoReldBztpCd=02,8196,
제도,지자체,WLF00002983,기초생활수급자 쓰레기봉투 지원,경상남도,경상남도,경상남도 창원시 복지여성보건국 사회복지과,,"청소년, 청년, 아동, 영유아, 중장년, 노년",현물지급,분기,기초생활수급자에게(생계.의료) 쓰레기봉투를 무상지원하여 쾌적한 주거환경 유지,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002983&wlfareInfoReldBztpCd=02,13560,
제도,지자체,WLF00001832,기초생활수급자 명절위문,경상남도,경상남도,경상남도 창원시 복지여성보건국 사회복지과,서민금융,"영유아, 아동, 노년, 청소년, 청년, 중장년",현금지급,년,기초수급자(생계.의료)에게 명절 위문금 지원으로 생활안정 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001832&wlfareInfoReldBztpCd=02,11214,
제도,지자체,WLF00004604,저소득층 국민건강보험료 지원,경상남도,경상남도,경상남도 창원시 복지여성보건국 사회복지과,서민금융,"청년, 청소년, 중장년, 노년, 아동, 영유아",감면,월,저소득층에게 질병치료에 어려움이 없도록 건강보험료를 지원하여 생활안정 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004604&wlfareInfoReldBztpCd=02,3833,
제도,지자체,WLF00004428,가출 여성 보호,경상남도,경상남도,경상남도 거창군 경제복지국 행복나눔과,서민금융,"청소년, 청년, 노년, 중장년",현금지급,1회성,가정폭력 등으로 가출하여 주거지가 없는 여성을 위한 보호비 지원을 통해 탈선예방,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004428&wlfareInfoReldBztpCd=02,1565,
